account_no,family_members,segment_gender_f,segment_gender_m,age_group,district,region,segment_cd_lifestyle,segment_dsc_lifestyle,segment_cd_value_cnt,segment_dsc_value_cnt,segment_cd_lifestage,segment_dsc_lifestage,segment_cd_pss,segment_dsc_pss
839901046294,0,0,1,55-65 anos,santarém,interior centro,7,Os Promocionais Atentos,1,Loyal Large,6,No Value,2,High Ps
839901347407,2,1,0,25-35 anos,aveiro,litoral norte,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
839907539554,2,1,0,45-55 anos,lisboa,litoral sul,1,Os Saudáveis Exigentes,4,Frequent Medium,4,Family With Kids,8,Price Upscale
839910611735,4,1,0,45-55 anos,lisboa,litoral sul,1,Os Saudáveis Exigentes,6,Occasional Medium,5,Active Adults,4,Medium Ps
839915360072,3,1,0,55-65 anos,lisboa,litoral sul,5,Os Tradicionais Frequentes,3,Loyal Small,4,Family With Kids,8,Price Upscale
839919665613,3,1,1,55-65 anos,faro,sul,7,Os Promocionais Atentos,7,Occasional Small,2,Senior,9,No Value
839923021139,4,1,0,45-55 anos,porto,litoral norte,6,Os Económicos Focados,3,Loyal Small,5,Active Adults,1,Very High Ps
839924355182,3,1,0,45-55 anos,porto,litoral norte,3,Os Pais Práticos,6,Occasional Medium,5,Active Adults,2,High Ps
839924748816,1,0,1,>=65 anos,porto,litoral norte,1,Os Saudáveis Exigentes,4,Frequent Medium,2,Senior,8,Price Upscale
839939700486,2,1,0,>=65 anos,lisboa,litoral sul,1,Os Saudáveis Exigentes,7,Occasional Small,2,Senior,8,Price Upscale
839942280275,4,0,1,55-65 anos,viana do castelo,litoral norte,4,Os Generalistas Disciplinados,6,Occasional Medium,4,Family With Kids,3,Medium-high Ps
839949471215,4,0,1,55-65 anos,porto,litoral norte,2,Os Urbanos Sofisticados,2,Loyal Medium,5,Active Adults,8,Price Upscale
839955773016,4,1,1,55-65 anos,santarém,interior centro,1,Os Saudáveis Exigentes,1,Loyal Large,3,Family With Young Adults,6,Neutral Ps
839957040727,3,0,1,55-65 anos,porto,litoral norte,1,Os Saudáveis Exigentes,2,Loyal Medium,2,Senior,6,Neutral Ps
839957226725,4,1,0,55-65 anos,porto,litoral norte,6,Os Económicos Focados,5,Frequent Small,5,Active Adults,5,Low Price/own Brand
839958356858,4,1,0,>=65 anos,guarda,interior norte,6,Os Económicos Focados,7,Occasional Small,1,Family Supporters,3,Medium-high Ps
839960784090,3,1,1,55-65 anos,porto,litoral norte,4,Os Generalistas Disciplinados,1,Loyal Large,3,Family With Young Adults,6,Neutral Ps
839964088835,4,0,1,45-55 anos,santarém,interior centro,2,Os Urbanos Sofisticados,7,Occasional Small,4,Family With Kids,2,High Ps
839971955465,4,1,0,45-55 anos,faro,sul,2,Os Urbanos Sofisticados,4,Frequent Medium,5,Active Adults,6,Neutral Ps
839988192782,3,1,1,>=65 anos,porto,litoral norte,5,Os Tradicionais Frequentes,4,Frequent Medium,2,Senior,1,Very High Ps
839988570668,3,1,0,>=65 anos,lisboa,litoral sul,4,Os Generalistas Disciplinados,5,Frequent Small,2,Senior,5,Low Price/own Brand
839997059161,2,1,1,35-45 anos,viana do castelo,litoral norte,2,Os Urbanos Sofisticados,2,Loyal Medium,5,Active Adults,1,Very High Ps
839997376626,2,1,0,55-65 anos,na,NA,7,Os Promocionais Atentos,7,Occasional Small,5,Active Adults,5,Low Price/own Brand
839998034198,3,0,1,>=65 anos,braga,litoral norte,1,Os Saudáveis Exigentes,4,Frequent Medium,2,Senior,8,Price Upscale
839998557185,3,1,0,45-55 anos,braga,litoral norte,4,Os Generalistas Disciplinados,5,Frequent Small,3,Family With Young Adults,2,High Ps
840000332434,3,1,0,>=65 anos,setúbal,litoral sul,5,Os Tradicionais Frequentes,8,No Value,6,No Value,9,No Value
840001485306,3,1,0,55-65 anos,porto,litoral norte,4,Os Generalistas Disciplinados,5,Frequent Small,4,Family With Kids,8,Price Upscale
840002156311,2,1,0,45-55 anos,lisboa,litoral sul,2,Os Urbanos Sofisticados,1,Loyal Large,5,Active Adults,1,Very High Ps
840002358814,0,1,0,55-65 anos,lisboa,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840004146119,4,1,0,55-65 anos,santarém,interior centro,7,Os Promocionais Atentos,4,Frequent Medium,1,Family Supporters,8,Price Upscale
840004346017,2,1,1,>=65 anos,aveiro,litoral norte,5,Os Tradicionais Frequentes,1,Loyal Large,2,Senior,6,Neutral Ps
840017904662,4,1,0,55-65 anos,viana do castelo,litoral norte,5,Os Tradicionais Frequentes,4,Frequent Medium,5,Active Adults,1,Very High Ps
840021395255,4,1,1,35-45 anos,faro,sul,2,Os Urbanos Sofisticados,2,Loyal Medium,4,Family With Kids,6,Neutral Ps
840033434884,2,0,1,>=65 anos,braga,litoral norte,4,Os Generalistas Disciplinados,4,Frequent Medium,1,Family Supporters,1,Very High Ps
840039405878,0,0,0,45-55 anos,aveiro,litoral norte,7,Os Promocionais Atentos,6,Occasional Medium,6,No Value,9,No Value
840040856167,3,1,0,55-65 anos,castelo branco,interior centro,2,Os Urbanos Sofisticados,2,Loyal Medium,1,Family Supporters,6,Neutral Ps
840048005406,1,1,0,35-45 anos,lisboa,litoral sul,6,Os Económicos Focados,6,Occasional Medium,4,Family With Kids,3,Medium-high Ps
840055496225,0,0,0,45-55 anos,na,NA,8,Sem Valor,8,No Value,6,No Value,9,No Value
840060830192,2,0,1,>=65 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840093644797,3,0,1,>=65 anos,na,NA,1,Os Saudáveis Exigentes,8,No Value,6,No Value,2,High Ps
840107921309,1,0,1,35-45 anos,porto,litoral norte,4,Os Generalistas Disciplinados,5,Frequent Small,5,Active Adults,5,Low Price/own Brand
840109884602,5,1,0,35-45 anos,porto,litoral norte,3,Os Pais Práticos,3,Loyal Small,4,Family With Kids,6,Neutral Ps
840122588610,3,1,1,45-55 anos,lisboa,litoral sul,3,Os Pais Práticos,1,Loyal Large,4,Family With Kids,6,Neutral Ps
840134036314,5,0,1,25-35 anos,ilha terceira,INSCO,1,Os Saudáveis Exigentes,2,Loyal Medium,4,Family With Kids,6,Neutral Ps
840136833874,1,1,0,>=65 anos,lisboa,litoral sul,2,Os Urbanos Sofisticados,8,No Value,2,Senior,8,Price Upscale
840150157536,2,1,0,35-45 anos,lisboa,litoral sul,3,Os Pais Práticos,1,Loyal Large,4,Family With Kids,8,Price Upscale
840152301569,0,1,0,25-35 anos,ilha da madeira,litoral sul,2,Os Urbanos Sofisticados,2,Loyal Medium,5,Active Adults,1,Very High Ps
840171179401,1,1,0,>=65 anos,leiria,litoral centro,1,Os Saudáveis Exigentes,7,Occasional Small,2,Senior,2,High Ps
840178375356,1,1,0,25-35 anos,lisboa,litoral sul,6,Os Económicos Focados,7,Occasional Small,5,Active Adults,5,Low Price/own Brand
840200245114,0,0,0,45-55 anos,na,NA,8,Sem Valor,8,No Value,6,No Value,9,No Value
840200422263,5,1,0,25-35 anos,braga,litoral norte,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840200850759,5,1,1,25-35 anos,ilha de são miguel,INSCO,7,Os Promocionais Atentos,7,Occasional Small,4,Family With Kids,4,Medium Ps
840201173294,4,1,0,55-65 anos,leiria,litoral centro,3,Os Pais Práticos,8,No Value,6,No Value,9,No Value
840206957889,1,0,1,>=65 anos,lisboa,litoral sul,5,Os Tradicionais Frequentes,6,Occasional Medium,2,Senior,3,Medium-high Ps
840217207942,0,1,0,18-25 anos,lisboa,litoral sul,2,Os Urbanos Sofisticados,4,Frequent Medium,4,Family With Kids,8,Price Upscale
840218815408,2,1,0,35-45 anos,aveiro,litoral norte,7,Os Promocionais Atentos,5,Frequent Small,2,Senior,7,No Ps
840222073498,2,1,0,55-65 anos,coimbra,litoral centro,5,Os Tradicionais Frequentes,4,Frequent Medium,5,Active Adults,1,Very High Ps
840223572105,0,0,0,45-55 anos,na,NA,2,Os Urbanos Sofisticados,8,No Value,5,Active Adults,1,Very High Ps
840224172526,4,1,1,25-35 anos,porto,litoral norte,3,Os Pais Práticos,7,Occasional Small,5,Active Adults,3,Medium-high Ps
840240806818,5,1,1,55-65 anos,aveiro,litoral norte,6,Os Económicos Focados,8,No Value,6,No Value,9,No Value
840245370953,2,1,0,>=65 anos,lisboa,litoral sul,4,Os Generalistas Disciplinados,6,Occasional Medium,2,Senior,4,Medium Ps
840246489739,3,0,1,55-65 anos,lisboa,litoral sul,2,Os Urbanos Sofisticados,2,Loyal Medium,2,Senior,8,Price Upscale
840248024959,3,1,0,35-45 anos,porto,litoral norte,7,Os Promocionais Atentos,8,No Value,5,Active Adults,9,No Value
840251819425,3,0,1,55-65 anos,na,NA,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840266435153,3,0,1,45-55 anos,porto,litoral norte,8,Sem Valor,7,Occasional Small,5,Active Adults,5,Low Price/own Brand
840267038728,5,1,0,18-25 anos,viana do castelo,litoral norte,6,Os Económicos Focados,4,Frequent Medium,5,Active Adults,8,Price Upscale
840270402028,2,0,1,35-45 anos,ilha terceira,INSCO,1,Os Saudáveis Exigentes,2,Loyal Medium,3,Family With Young Adults,6,Neutral Ps
840271547360,0,0,1,35-45 anos,porto,litoral norte,8,Sem Valor,8,No Value,6,No Value,9,No Value
840277486076,1,1,0,55-65 anos,leiria,litoral centro,5,Os Tradicionais Frequentes,8,No Value,5,Active Adults,5,Low Price/own Brand
840277575626,0,0,1,18-25 anos,,NA,4,Os Generalistas Disciplinados,5,Frequent Small,4,Family With Kids,4,Medium Ps
840281446971,4,1,1,25-35 anos,faro,sul,2,Os Urbanos Sofisticados,2,Loyal Medium,5,Active Adults,6,Neutral Ps
840283822909,5,0,1,45-55 anos,setúbal,litoral sul,6,Os Económicos Focados,3,Loyal Small,5,Active Adults,3,Medium-high Ps
840284082199,3,1,0,18-25 anos,porto,litoral norte,4,Os Generalistas Disciplinados,8,No Value,2,Senior,2,High Ps
840284501632,0,0,1,>=65 anos,setúbal,litoral sul,1,Os Saudáveis Exigentes,2,Loyal Medium,2,Senior,8,Price Upscale
840284611317,2,1,0,25-35 anos,lisboa,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840289872154,0,1,0,18-25 anos,vila real,interior norte,6,Os Económicos Focados,7,Occasional Small,4,Family With Kids,5,Low Price/own Brand
840291436026,2,0,1,35-45 anos,coimbra,litoral centro,6,Os Económicos Focados,8,No Value,5,Active Adults,6,Neutral Ps
840299502392,1,0,1,18-25 anos,coimbra,litoral centro,7,Os Promocionais Atentos,5,Frequent Small,4,Family With Kids,2,High Ps
840301088641,5,1,0,45-55 anos,faro,sul,6,Os Económicos Focados,5,Frequent Small,5,Active Adults,2,High Ps
840310080947,2,0,1,>=65 anos,vila real,interior norte,8,Sem Valor,6,Occasional Medium,6,No Value,4,Medium Ps
847001410915,0,0,1,>=65 anos,porto,litoral norte,7,Os Promocionais Atentos,5,Frequent Small,2,Senior,5,Low Price/own Brand
847005397502,0,1,0,35-45 anos,braga,litoral norte,5,Os Tradicionais Frequentes,1,Loyal Large,2,Senior,2,High Ps
847005590705,0,1,0,35-45 anos,leiria,litoral centro,4,Os Generalistas Disciplinados,1,Loyal Large,4,Family With Kids,3,Medium-high Ps
847005920215,0,1,1,55-65 anos,lisboa,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
847008086116,0,0,1,45-55 anos,na,NA,4,Os Generalistas Disciplinados,5,Frequent Small,4,Family With Kids,5,Low Price/own Brand
847102630727,0,1,1,55-65 anos,porto,litoral norte,2,Os Urbanos Sofisticados,3,Loyal Small,3,Family With Young Adults,6,Neutral Ps
847102706835,0,1,1,45-55 anos,braga,litoral norte,4,Os Generalistas Disciplinados,1,Loyal Large,3,Family With Young Adults,1,Very High Ps
847109165349,0,0,1,45-55 anos,lisboa,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
847109800799,0,1,0,25-35 anos,setúbal,litoral sul,8,Sem Valor,8,No Value,6,No Value,9,No Value
849414801741,0,0,1,25-35 anos,braga,litoral norte,7,Os Promocionais Atentos,6,Occasional Medium,5,Active Adults,4,Medium Ps
849420943091,0,0,0,25-35 anos,na,NA,6,Os Económicos Focados,8,No Value,6,No Value,9,No Value
849423669172,0,0,0,25-35 anos,na,NA,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
849425507434,0,0,0,35-45 anos,na,NA,3,Os Pais Práticos,3,Loyal Small,4,Family With Kids,5,Low Price/own Brand
849426187666,0,0,0,25-35 anos,na,NA,4,Os Generalistas Disciplinados,5,Frequent Small,5,Active Adults,8,Price Upscale
849429489337,0,0,1,35-45 anos,na,NA,6,Os Económicos Focados,1,Loyal Large,3,Family With Young Adults,3,Medium-high Ps
849429501152,0,0,0,18-25 anos,lisboa,litoral sul,6,Os Económicos Focados,4,Frequent Medium,5,Active Adults,6,Neutral Ps
